Index,Level,Accuracy,Classifier,Transformation,ROC,Brier
49,Level 3,0.984375,MC Dropout,Noise,0.9886216391318432,0.00821301992982626
50,Level 3,0.9810267857142857,MC Dropout,Noise,0.9875192397778224,0.008386509492993355
51,Level 3,0.97265625,MC Dropout,Noise,0.9900476541735456,0.008850119076669216
52,Level 3,0.9765625,MC Dropout,Noise,0.9774557823129252,0.008224468678236008
53,Level 3,0.9815848214285714,MC Dropout,Noise,0.9911623339707479,0.00641604932025075
54,Level 3,0.9732142857142857,MC Dropout,Noise,0.9931431574923547,0.008471880108118057
55,Level 3,0.9854910714285714,MC Dropout,Noise,0.9798762958445858,0.007329144980758429
56,Level 3,0.9765625,MC Dropout,Noise,0.9888707482993198,0.0070505705662071705
57,Level 3,0.9810267857142857,MC Dropout,Noise,0.9888576591045976,0.00735681876540184
58,Level 3,0.9827008928571429,MC Dropout,Noise,0.9924163323624774,0.00899340771138668
59,Level 3,0.9760044642857143,MC Dropout,Noise,0.9941228874971744,0.007666447665542364
60,Level 4,0.9665178571428571,MC Dropout,Noise,0.9888375673595073,0.009874030947685242
61,Level 4,0.9704241071428571,MC Dropout,Noise,0.9836600952618617,0.011116194538772106
62,Level 4,0.9737723214285714,MC Dropout,Noise,0.981686276900567,0.011894158087670803
63,Level 4,0.9832589285714286,MC Dropout,Noise,0.9882709042754446,0.010059036314487457
64,Level 4,0.9827008928571429,MC Dropout,Noise,0.9847960286494111,0.008955072611570358
65,Level 4,0.9676339285714286,MC Dropout,Noise,0.9831265163266117,0.010022921487689018
66,Level 4,0.9776785714285714,MC Dropout,Noise,0.9707334474885845,0.011596028693020344
67,Level 4,0.98046875,MC Dropout,Noise,0.9859012927880316,0.009389960207045078
68,Level 4,0.9693080357142857,MC Dropout,Noise,0.9826451038886271,0.010150283575057983
69,Level 4,0.9832589285714286,MC Dropout,Noise,0.9853386303443057,0.010263766162097454
70,Level 4,0.9776785714285714,MC Dropout,Noise,0.9869292237442923,0.010898463428020477
71,Level 4,0.9665178571428571,MC Dropout,Noise,0.9826789838337182,0.011955330148339272
72,Level 4,0.9720982142857143,MC Dropout,Noise,0.9746613088404134,0.010599476285278797
73,Level 4,0.9810267857142857,MC Dropout,Noise,0.9882219099243793,0.008217665366828442
74,Level 4,0.9676339285714286,MC Dropout,Noise,0.9861691126754961,0.011271174997091293
75,Level 4,0.9832589285714286,MC Dropout,Noise,0.983636019674612,0.009202084504067898
76,Level 4,0.9720982142857143,MC Dropout,Noise,0.9759931113662458,0.009389558807015419
77,Level 4,0.9793526785714286,MC Dropout,Noise,0.9871871871871872,0.009473798796534538
